match_id,batsman,opposition,venue,runs
1,A Choudhary,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",6
1,BCJ Cutting,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",16
1,CH Gayle,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",32
1,DA Warner,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",14
1,DJ Hooda,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",16
1,KM Jadhav,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",31
1,MC Henriques,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",52
1,Mandeep Singh,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",24
1,S Aravind,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
1,S Dhawan,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",40
1,SR Watson,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",22
1,STR Binny,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",11
1,Sachin Baby,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1
1,TM Head,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",30
1,TS Mills,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",6
1,YS Chahal,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3
1,Yuvraj Singh,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",62
2,AM Rahane,Mumbai Indians,Maharashtra Cricket Association Stadium,60
2,AT Rayudu,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,10
2,BA Stokes,Mumbai Indians,Maharashtra Cricket Association Stadium,21
2,HH Pandya,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,35
2,JC Buttler,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,38
2,KA Pollard,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,27
2,KH Pandya,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,3
2,MA Agarwal,Mumbai Indians,Maharashtra Cricket Association Stadium,6
2,MS Dhoni,Mumbai Indians,Maharashtra Cricket Association Stadium,12
2,N Rana,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,34
2,PA Patel,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,19
2,RG Sharma,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,3
2,SPD Smith,Mumbai Indians,Maharashtra Cricket Association Stadium,84
2,TG Southee,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,7
3,AJ Finch,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,15
3,BB McCullum,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,35
3,CA Lynn,Gujarat Lions,Saurashtra Cricket Association Stadium,93
3,G Gambhir,Gujarat Lions,Saurashtra Cricket Association Stadium,76
3,JJ Roy,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,14
3,KD Karthik,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,47
3,SK Raina,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,68
4,AM Rahane,Kings XI Punjab,Holkar Cricket Stadium,19
4,AR Patel,Rising Pune Supergiant,Holkar Cricket Stadium,24
4,BA Stokes,Kings XI Punjab,Holkar Cricket Stadium,50
4,DA Miller,Rising Pune Supergiant,Holkar Cricket Stadium,30
4,DT Christian,Kings XI Punjab,Holkar Cricket Stadium,17
4,GJ Maxwell,Rising Pune Supergiant,Holkar Cricket Stadium,44
4,HM Amla,Rising Pune Supergiant,Holkar Cricket Stadium,28
4,M Vohra,Rising Pune Supergiant,Holkar Cricket Stadium,14
4,MA Agarwal,Kings XI Punjab,Holkar Cricket Stadium,0
4,MK Tiwary,Kings XI Punjab,Holkar Cricket Stadium,40
4,MS Dhoni,Kings XI Punjab,Holkar Cricket Stadium,5
4,SPD Smith,Kings XI Punjab,Holkar Cricket Stadium,26
4,WP Saha,Rising Pune Supergiant,Holkar Cricket Stadium,14
5,A Mishra,Royal Challengers Bangalore,M Chinnaswamy Stadium,8
5,AP Tare,Royal Challengers Bangalore,M Chinnaswamy Stadium,18
5,CH Gayle,Delhi Daredevils,M Chinnaswamy Stadium,6
5,CH Morris,Royal Challengers Bangalore,M Chinnaswamy Stadium,4
5,CR Brathwaite,Royal Challengers Bangalore,M Chinnaswamy Stadium,1
5,Iqbal Abdulla,Delhi Daredevils,M Chinnaswamy Stadium,5
5,KK Nair,Royal Challengers Bangalore,M Chinnaswamy Stadium,4
5,KM Jadhav,Delhi Daredevils,M Chinnaswamy Stadium,69
5,Mandeep Singh,Delhi Daredevils,M Chinnaswamy Stadium,12
5,P Negi,Delhi Daredevils,M Chinnaswamy Stadium,10
5,PJ Cummins,Royal Challengers Bangalore,M Chinnaswamy Stadium,6
5,RR Pant,Royal Challengers Bangalore,M Chinnaswamy Stadium,57
5,S Nadeem,Royal Challengers Bangalore,M Chinnaswamy Stadium,0
5,SR Watson,Delhi Daredevils,M Chinnaswamy Stadium,24
5,STR Binny,Delhi Daredevils,M Chinnaswamy Stadium,16
5,SV Samson,Royal Challengers Bangalore,M Chinnaswamy Stadium,13
5,SW Billings,Royal Challengers Bangalore,M Chinnaswamy Stadium,25
5,TS Mills,Delhi Daredevils,M Chinnaswamy Stadium,0
5,Vishnu Vinod,Delhi Daredevils,M Chinnaswamy Stadium,9
5,Z Khan,Royal Challengers Bangalore,M Chinnaswamy Stadium,1
6,AJ Finch,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3
6,BB McCullum,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5
6,Basil Thampi,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",13
6,DA Warner,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",76
6,DR Smith,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",37
6,DS Kulkarni,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1
6,JJ Roy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",31
6,KD Karthik,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",30
6,MC Henriques,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",52
6,P Kumar,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",7
6,S Dhawan,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",9
6,SK Raina,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5
7,CA Lynn,Mumbai Indians,Wankhede Stadium,32
7,CR Woakes,Mumbai Indians,Wankhede Stadium,9
7,G Gambhir,Mumbai Indians,Wankhede Stadium,19
7,HH Pandya,Kolkata Knight Riders,Wankhede Stadium,29
